,IFI27,RPL5,ZBP1,IFITM1,EPSTI1,EBI2,FCER1A,GADD45A,TNFSF13B,IFIT2,OSBPL10,SCRN1,TNFAIP6
GSM1199352,9.646749751,11.22757312,8.851467984,11.99461363,10.03506172,8.485255547,9.604751146,6.0390484,10.154131065,10.97317147,3.542208599,7.14534526,6.066730888
GSM1199353,13.11847365,10.99272643,9.301005714,12.59251298,9.824523211,7.40643071,9.215798661,6.9967486815,10.585120315000001,11.69719867,4.265709971,5.757860826,6.486712329
GSM1199354,7.753687205,11.2499628,8.809545162,12.28228521,9.806902608,7.819702151,7.393435687,6.137683298,10.34910429,11.41986816,6.183390169,6.561392077,6.135722196000001
GSM1199355,13.511277,10.59860816,9.431673357,12.22635194,9.689359946,7.0628183915000005,8.640534517,6.7191295245,10.29719858,11.6674094,4.100823925,6.444012528,6.606546165999999
GSM1199356,13.54890238,10.76248259,9.143707898,12.90055392,10.64404896,7.714923096,8.766071747,6.411113382,10.95701775,12.38113566,4.556489614,6.383207795,6.1988583915
GSM1199357,12.00341643,10.90135094,8.901836694,12.01245282,9.849457702,7.73935669,6.103510631,6.8428738275,10.600846655,11.45243357,7.321790998,6.685367545,6.022260623999999
GSM1199358,13.49023364,10.47479845,9.896317,12.65974101,11.1498268,7.401193221,7.018045083,6.737777342999999,11.224419229999999,12.92796758,5.155113693,6.244755783,6.9948363615
GSM1199359,5.459854543,11.41016834,7.761873029,11.51074505,8.761365249,7.67727889,9.23323465,6.160946946499999,9.7074190485,9.916998616,4.805562013,6.407778236,6.1128896125
GSM1199360,12.86165148,9.580241067,10.39975012,13.11286428,11.8574345,6.577457613,6.180725342,7.2356350345,11.394556349999998,13.10092537,4.319414445,5.848102343,7.3619677085
GSM1199361,11.22450512,11.96875144,7.89583988,11.8951202,10.34120269,9.0640036065,8.691339738,5.403899676,10.510362964999999,11.58494061,5.534373797,6.355571933,6.073811275
GSM1199362,12.26121299,10.92614372,9.15149815,11.88304764,10.8293618,7.598622279000001,8.835332061,6.3710365625000005,10.586234615,11.61449062,4.724328125,6.422163001,6.5730582815
GSM1199363,13.23929311,10.95740325,10.30129381,12.48173007,11.71654379,7.4995035085,8.271618244,6.942442918999999,10.955239670000001,12.53189161,4.354678769,6.025304043,6.8756676885
GSM1199364,7.086332906,11.36260055,7.49415823,11.30285056,8.653671381,6.704210114,8.31005119,6.593378531,10.180930735,9.661706801,4.866012891,6.441941692,6.323238771
GSM1199365,13.39817288,10.69804494,9.645557616,12.44786446,11.29630672,7.2896249895,8.805568839,7.0694562465,10.931925230000001,12.48715521,4.255399148,5.914879589,6.292517782999999
GSM1199367,12.76786576,11.06952035,10.59860816,12.80082434,11.13909111,7.750444078999999,8.212169411,5.868143922,11.026340699999999,12.62480041,6.259935548,6.033681105,6.887848299
GSM1199369,11.34979897,10.62878804,8.668931415,12.28743701,10.57711195,8.181093725,8.388886655,6.249186701499999,10.888572305,11.82957093,4.447070898,6.184207913,6.4095083205000005
GSM1199373,12.58137913,11.15878797,8.762180543,12.43854644,10.38121119,7.8723921115,8.012862013,5.9401068135,10.628204085,11.55669955,5.51762915,5.886676363,6.009364699
GSM1199376,8.699801848,11.00592029,9.585073472,12.68804638,11.05381559,7.9026011195,9.454456818,6.7381922805,10.862276515000001,12.13027456,3.485518032,7.538904771,6.1703160235
GSM1199379,7.120352591,11.47915657,7.630075696,11.27738048,8.776300007,7.515565722,9.23323465,6.897074237,9.631245972,10.25102817,4.781719674,6.887877077,5.989437952
