,IFI27,RPL5,ZBP1,IFITM1,EPSTI1,EBI2,FCER1A,GADD45A,TNFSF13B,IFIT2,OSBPL10,SCRN1,TNFAIP6
GSM1594574,6.24379288,11.6895906,10.2583691,12.1384795,11.1881401,8.303006035,9.18833615,6.39837771,11.847019249999999,12.9607585,6.4218821,6.9052281,6.878038895
GSM1594576,4.81157959,12.2347364,8.40991465,11.2954211,8.3665123,8.286814295,9.66688284,6.92297425,9.591768715,10.3169561,6.71115665,6.58059119,5.85943339
GSM1594577,8.18680812,12.2294732,7.76950901,11.9313001,8.92585883,9.455138155,9.51274084,6.435849095,9.72283064,10.0088964,7.21886219,7.32229631,4.814250345
GSM1594578,12.6913552,11.8862759,8.66239129,11.4604559,9.48407001,7.618758595,9.15334606,7.7414322,10.334947204999999,10.7105272,6.08032027,6.64305456,5.395397389999999
GSM1594579,5.59035083,12.4458329,7.84227332,11.8420628,8.35352723,9.199545905,9.81428277,6.85729763,10.64449365,10.684479,6.2670439,6.91430316,5.372368574999999
GSM1594580,4.81157959,12.1173619,8.45336226,11.6931918,6.86976606,9.105233345,9.86592163,5.2403983,9.806519415,9.57377533,5.90040904,7.41842188,5.1929956
GSM1594581,8.1938498,11.9980467,8.46076891,11.7627859,8.92881086,8.467707895,9.57728077,6.874045925000001,10.16505685,11.08761,5.93068852,6.60687242,5.5088667749999995
GSM1594582,4.81157959,11.6399326,8.07136063,11.2580873,8.7986753,8.641107745,9.82851511,6.7952558849999996,10.527224050000001,10.3335048,6.47705851,7.54757807,5.93149108
GSM1594583,4.81157959,11.9519452,8.47149181,12.050005,8.57590341,8.923763019999999,10.4409583,6.50472229,10.36115535,10.6689156,4.9744426,6.80133057,5.276241515000001
GSM1594584,4.81157959,11.9285638,7.80833622,11.6427814,8.22658766,8.811021955000001,9.93266613,6.99210273,10.417554235,10.5206545,4.94285543,5.79228305,5.75393269
GSM1594585,9.02904996,12.0104942,7.6635861,11.5926801,9.99346642,8.37196387,9.20418296,6.719933335,11.138056500000001,10.9453775,6.6733854,6.87846296,6.677902895
GSM1594586,6.33171918,11.6685901,7.64264464,11.8947646,8.04610843,9.551882485,10.2241668,6.854422285,10.03641588,9.89581032,5.72506016,7.56490693,4.922939985
GSM1594587,7.9264603,11.7539491,8.77470023,12.2206723,9.53719991,8.59184788,9.82939331,6.567707445,11.383594500000001,11.7570708,6.57757461,6.90840202,6.093413735
GSM1594588,7.44994511,11.7426699,8.60396899,11.7408985,10.6230932,8.541157635000001,9.46372625,6.637193825000001,10.670569799999999,11.6899176,5.92014583,6.040954,5.9871254799999996
GSM1594589,8.30637344,11.9609406,7.70544923,11.4290159,8.8702115,8.60105387,9.74336635,6.50910442,9.5850909,10.4978449,5.97475667,6.30113399,5.509499255
GSM1594590,6.18840963,12.0155091,7.98929515,11.6897814,9.01403526,8.802702765,10.1729825,6.73098371,10.049943455000001,10.7197191,5.21691577,7.1366764,5.14912925
GSM1594591,7.53537415,11.6945394,8.2906405,11.9442867,9.37538138,8.896287365,9.90751803,5.459766139999999,10.242995310000001,10.8197041,5.3794813,7.09943198,5.196524655
GSM1594592,6.33797114,11.6445922,8.5058306,11.409637,8.75413624,9.450215674999999,9.85001771,6.015614325,9.974271694999999,10.34623,5.99548407,7.52433014,5.27176969
GSM1594593,6.28735076,11.6249668,8.66512127,12.0823989,9.94578062,8.65352531,9.68942357,6.176409255,10.65896225,11.4442317,6.65267722,7.1655472,6.07850353
GSM1594594,3.32192809,11.8111969,8.76231592,11.9342364,8.16313942,8.64275007,9.98119621,6.103026515,10.59319445,11.2604738,5.93812721,7.1350895,6.005764765
GSM1594595,7.79309864,11.91782,8.11352392,11.8280928,8.89885227,8.199270434999999,11.0017544,6.413246155,10.404753549999999,10.8278397,5.63809238,6.56229097,5.723014875
GSM1594596,5.07987642,12.056741,7.51955213,11.5340305,8.47718553,9.0061945,10.1544257,6.46147043,10.142417250000001,10.3421714,6.01377287,6.72879669,5.39314298
GSM1594597,7.89461529,11.6382436,9.03080092,12.2885878,10.5481543,8.532347415,10.6558724,6.1060970050000005,10.77325725,12.0695726,6.29074987,6.64720224,5.76629655
GSM1594598,6.99104332,12.3645213,8.30331591,11.823126,9.53299988,8.568688845,10.0124332,6.786343705,10.352743345,11.2690419,5.00567125,6.74142923,5.61386783
GSM1594599,5.4221038,11.9217956,7.63451704,11.8067208,8.94261068,8.867690485,10.0429507,6.271360865,10.53768215,10.7769092,4.62771714,6.11675524,5.57013466
GSM1594600,6.54862173,11.851993,7.93120673,11.8112093,8.56389333,8.11047604,9.91566385,6.525070725,10.583083349999999,10.7688633,5.7801119,5.54621971,5.7349630750000005
GSM1594601,6.65067984,11.9534879,7.57158353,11.275656,7.92843191,8.312720575,10.3405834,6.64354482,9.97966229,10.6497789,5.51152117,6.96730236,5.314703355000001
GSM1594602,6.2821588,12.1640097,7.67611646,11.6102636,7.66213071,8.57836352,9.71560359,6.46921996,10.56247325,10.7097507,5.87579505,6.06067799,5.678852695
GSM1594603,5.93278711,11.9729661,7.77539563,11.3496627,8.98142372,8.376813585,10.7408567,6.1489985,10.192613215,10.6173747,5.65355306,6.98963519,5.23703192
